Остаток на 02.11.2015,350,
Остаток на 02.11.2015,150,
05.11.2015,-20,вода
05.11.2015,-325,коммуналка
05.11.2015,-3000,по 1500
Остаток на 06.11.2015,805,
2015-11-05,-250,уборка
2015-11-06,-100,полотенца и бумага
2015-11-06,-4000,по 2000
2015-11-06,505,
2015-11-07,-6000,по 3000
Остаток на 08.11.2015,905,
08.11.2105 11.00.00,500,повтор
08.11.2105 12.20.00,500,повтор
08.11.2105 12.30.00,250,повтор
08.11.2105 12.50.00,500,
08.11.2105 13.40.00,400,сарафан
08.11.2105 14.10.00,400,Фетисов
08.11.2105 15.00.00,500,мышеловка
08.11.2105 16.20.00,500,интернет
08.11.2105 16.30.00,400,сарафан
08.11.2105 17.50.00,500,интернет
08.11.2105 18.10.00,500,мышеловка
08.11.2105 19.00.00,500,
08.11.2105 19.10.00,500,повтор
08.11.2015 оплачено за 22.11.2015,2700,
2015-11-07,-800,Кате
2015-11-07,-8400,по 4200
Остаток на 09.11.2015,355,
09.11.2105 17.50.00,250,сарафан
10.11.2015,500,сертификат 098
2015-11-10,-3000,по 1500
Остаток на 11.11.2015,505,
2015-11-11,-150,ремонт домофона
2015-11-12,1955,
2015-11-13,-250,
2015-11-13,-6000,(всего 6000)
Остаток на 14.11.2015,305,
14.11.2015,-5500,
Остаток на 15.11.2015,305,
15.11.2015,-850,Кате
15.11.2015,-105,
15.11.2015,-6000,по 3000
Остаток на 16.11.2015,250,
19.11.2015,-2000,по 1000
20.11.2015,-250,уборка
2015-11-20,-4000,по 2000
Остаток на 21.11.2015,1300,
2015-11-21,-8000,по 4000
2015-11-21,-200,эпицентр
Остаток на 22.11.2015,600,
22.11.2015,-200,еда
22.11.2015,-4000,по 2000
Остаток на 23.11.2015,650,
Остаток на 24.11.2015,2350,
24.11.2015,1000,абонемент 16
2015-11-24,-5000,по 2500
Остаток на 25.11.2015,350,
27.11.2015,-250,уборка
Остаток на 28.11.2015,3000,
28.11.2015,-11000,по 5500
Остаток на 29.11.2015,600,
29.11.2015,500,сертификат 65
2015-11-29,-5600,по 2800
Остаток на 03.12.2015,750,
04.12.2015,-250,уборка
Остаток на 05.12.2015,500,
Остаток на 06.12.2015,3500,
06.12.2015,-300,коммуналка
06.12.2015,-600,Кате
06.12.2015,-7000,по 3500
Остаток на 07.12.2015,200,
08.12.2015,500,сертификат № 098
08.12.2015,500,сертификат № 099
10.12.2015,500,сертификат № 100
11.12.2015,-250,уборка ???
11.12.2015,500,сертификат № 101
Остаток на 12.12.2015,4350,
12.12.2015,300,сертификат № 102
2015-12-12,-9000,по 4500
Остаток на 13.12.2015,150,
13.12.2015,1000,абонемент 13
2015-12-13,-800,Кате
2015-12-13,-4000,по 2000
Остаток на 14.12.2015,750,
